"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","352","Создание пользователей по данным из CSV [1] POST /users John Doe <john@example.com>","","Tue May 19 18:26:40 UTC 2026","passed","Tue May 19 18:26:40 UTC 2026","","Data-Driven — CSV источник","ru.learning.java.clients.api.data_driven.UserCsvDataDrivenTest","createUserFromCsv"
"","690","4. Inline multipart без клиента","","Tue May 19 18:26:57 UTC 2026","passed","Tue May 19 18:26:58 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testMultipartInline"
"","360","6. PUT с form params и session cookie","","Tue May 19 18:26:46 UTC 2026","passed","Tue May 19 18:26:46 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutFormParamsWithSession"
"Работа с Comment моделью через TestSpecification","35","3. Получение комментариев с детальным логированием","","Tue May 19 18:27:03 UTC 2026","passed","Tue May 19 18:27:03 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetCommentsWithAllure"
"Отправка формы в формате application/x-www-form-urlencoded","366","1. POST с form parameters (без cookies)","","Tue May 19 18:26:44 UTC 2026","passed","Tue May 19 18:26:44 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPostWithFormParams"
"","38","7. GET защищённого ресурса с валидным токеном","","Tue May 19 18:26:43 UTC 2026","passed","Tue May 19 18:26:43 UTC 2026","","Тесты OAuthApiClientTest - аутентификация через OAuth 2.0","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithToken"
"","112","Создание пользователей по данным из CSV [3] POST /users Alex Smith <alex@example.com>","","Tue May 19 18:26:41 UTC 2026","passed","Tue May 19 18:26:41 UTC 2026","","Data-Driven — CSV источник","ru.learning.java.clients.api.data_driven.UserCsvDataDrivenTest","createUserFromCsv"
"","488","4. POST с JAXB объектом","","Tue May 19 18:26:59 UTC 2026","passed","Tue May 19 18:27:00 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testPostWithJaxbObject"
"Демонстрация получения токена через POST запрос","367","7. Получение Bearer токена","","Tue May 19 18:26:49 UTC 2026","passed","Tue May 19 18:26:50 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetBearerToken"
"Демонстрация обнаружения истёкшего токена без обращения к серверу","1","8. Истёкший токен: exp в прошлом","","Tue May 19 18:26:43 UTC 2026","passed","Tue May 19 18:26:43 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testExpiredJwtDetectedLocally"
"","13","9. WireMock: PUT с Digest для разных id PUT /data/42 → 200","","Tue May 19 18:26:56 UTC 2026","passed","Tue May 19 18:26:56 UTC 2026","","DigestApiClientTest — аутентификация через HTTP Digest","ru.learning.java.clients.api.DigestApiClientTest","testPutWithDigestForVariousIds"
"Демонстрация добавления вложений в отчет","256","6. Тест с attachment в Allure","","Tue May 19 18:27:03 UTC 2026","passed","Tue May 19 18:27:04 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testWithAttachments"
"exp должен быть в будущем относительно текущего времени","13","7. Валидный токен ещё не истёк","","Tue May 19 18:26:43 UTC 2026","passed","Tue May 19 18:26:43 UTC 2026","","JwtApiClientTest — аутентификация через JWT","ru.learning.java.clients.api.JwtApiClientTest","testJwtNotExpired"
"","604","2. SOAP — валидация ответа через XPath","","Tue May 19 18:26:31 UTC 2026","passed","Tue May 19 18:26:31 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testSoapResponseWithXPath"
"Пошаговое создание и валидация поста","119","4. Создание поста с подробными шагами","","Tue May 19 18:27:03 UTC 2026","passed","Tue May 19 18:27:03 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testCreatePostWithSteps"
"Проверяем, что api_key передаётся как query-параметр","369","5. GET с API Key в query-параметре 'api_key'","","Tue May 19 18:26:36 UTC 2026","passed","Tue May 19 18:26:37 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyQueryParam"
"Создание поста из Java объекта","108","7. POST запрос с объектом","","Tue May 19 18:27:00 UTC 2026","passed","Tue May 19 18:27:00 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithObject"
